2025-07-03 13:02:39,0
2025-07-03 13:02:50,1
2025-07-03 13:04:00,0
2025-07-03 13:04:18,1
2025-07-03 14:09:35,0
2025-07-03 14:09:50,0
2025-07-03 14:10:08,0
2025-07-03 14:14:26,1
2025-07-03 14:14:57,0
2025-07-03 17:10:49,1
2025-07-03 17:15:06,1
2025-07-03 17:17:06,1
2025-07-04 09:30:05,1
2025-07-04 09:30:18,0
2025-07-04 09:30:30,0
2025-07-04 10:54:37,0
2025-07-04 11:37:05,1
2025-07-04 11:59:48,0
2025-07-04 12:08:44,0
2025-07-04 12:09:12,0
2025-07-04 12:11:03,1
2025-07-11 15:37:53,0
2025-07-11 15:38:08,0
2025-07-11 15:38:19,0
2025-07-11 15:38:33,0
2025-07-11 15:39:06,1
2025-07-11 15:39:20,1
2025-07-15 16:10:52,0
2025-07-15 16:11:25,0
2025-07-15 16:12:02,0
2025-07-15 16:30:50,0
2025-07-15 16:41:15,1
2025-07-15 16:42:23,0
2025-07-15 16:42:33,0
2025-07-15 16:42:43,0
2025-07-15 16:43:18,0
2025-07-15 16:43:29,0
2025-07-15 16:43:39,0
2025-07-15 16:43:49,0
2025-07-15 16:44:17,0
2025-07-15 16:44:29,0
2025-07-15 16:44:43,0
2025-07-15 17:29:31,1
2025-08-18 15:38:40,0
2025-08-18 15:38:55,1
2025-08-18 15:39:12,1
2025-08-18 15:39:23,1
2025-08-18 15:39:42,1
2025-08-20 16:38:40,1
2026-04-15 16:37:05,0
2026-04-15 16:37:29,0
2026-04-15 16:37:59,0
2026-04-15 16:38:22,0
2026-04-15 17:04:28,0
2026-04-15 18:09:20,0
